Dependency,Model Name,Domain,Channels,Window Size,Step Size,Hyperparams,Target,Mean,Std,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
Dependent,3DCNN-Baseline,Entropy,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,84.01,9.29,96.34,70.18,89.53,77.62,81.29,88.92,93.34,88.21,65.4,88.24,72.46,92.16,87.32,85.44,88.01,94.85,58.85,89.0,82.96,92.78,90.09,69.82,89.55,88.78,87.25,73.45,95.01,77.3,91.58,82.29,86.97,73.36
Dependent,3DCNN-Baseline,Entropy,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,82.83,9.02,96.14,66.86,90.17,78.58,76.67,89.49,94.79,89.38,72.34,87.39,71.18,82.82,78.99,78.44,84.82,95.75,59.56,89.02,85.37,90.36,89.15,80.66,88.23,76.5,87.46,73.23,95.57,79.74,90.74,76.04,86.37,68.81
Dependent,3DCNN,Entropy,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,64.74,9.1,62.57,57.37,79.23,59.21,53.76,58.0,67.87,57.91,54.39,60.49,57.33,80.46,83.1,60.79,65.14,69.78,58.71,60.9,66.49,74.89,78.98,57.87,79.45,80.18,69.53,53.9,70.57,53.99,60.93,53.57,59.02,65.2
Dependent,3DCNN,Entropy,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,62.8,7.14,56.51,61.58,59.67,61.79,57.23,72.47,71.95,60.92,59.62,71.37,57.55,59.32,71.02,64.11,76.55,71.69,52.4,73.53,59.24,65.65,52.85,61.85,73.22,54.61,53.97,60.49,75.28,61.37,58.26,63.64,55.84,54.0
Dependent,3DCNN-Baseline,Entropy,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,83.1,8.99,98.13,64.88,91.5,72.37,80.12,88.25,94.38,86.75,66.62,86.37,69.37,92.25,86.63,75.12,85.75,90.38,64.38,88.63,84.62,91.5,90.0,78.63,86.5,82.62,85.63,73.0,94.13,77.62,92.13,80.0,86.75,74.25
Dependent,3DCNN-Baseline,Entropy,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,81.63,9.66,97.25,62.12,86.25,74.75,73.62,88.63,95.25,86.13,68.75,87.38,65.5,83.63,79.5,76.75,87.25,92.0,64.5,92.5,83.5,89.5,82.38,74.5,87.25,70.75,89.0,78.5,94.63,79.25,90.75,83.5,83.63,63.38
Dependent,3DCNN,Entropy,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,64.82,8.95,62.88,57.12,76.25,62.75,48.63,54.75,65.62,56.38,54.5,59.75,59.62,81.75,82.63,64.0,62.87,68.62,60.62,64.25,67.38,74.25,77.25,54.25,79.75,80.5,68.12,59.75,71.88,54.75,60.87,55.37,61.88,65.12
Dependent,3DCNN,Entropy,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,63.67,6.8,56.25,58.37,59.12,62.5,60.38,71.0,73.5,58.25,61.13,68.75,59.87,63.87,72.13,63.38,73.0,73.87,53.75,77.12,59.75,65.0,55.75,65.62,74.13,56.0,57.25,60.75,77.25,63.25,62.37,61.0,56.75,56.37
Dependent,3DCNN-Baseline,De,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,83.9,4.43,88.0,78.88,88.38,80.12,76.75,83.63,87.0,84.25,79.88,85.13,78.0,87.63,89.5,83.25,83.75,87.5,79.75,86.63,86.63,87.25,89.37,74.37,88.75,83.5,91.0,80.0,89.63,82.5,85.87,75.5,80.75,81.5
Dependent,3DCNN-Baseline,De,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,82.31,5.02,86.0,76.38,82.25,81.0,73.37,86.88,88.75,84.88,84.12,83.87,75.75,76.87,83.87,80.88,90.25,89.13,77.75,86.5,85.75,86.0,79.0,68.88,87.75,79.38,82.5,82.75,90.5,81.5,84.87,77.88,81.5,77.13
Dependent,3DCNN,De,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,66.59,7.66,69.0,60.0,77.62,61.63,57.5,57.37,68.0,60.0,63.25,67.63,62.25,79.88,82.75,65.5,69.87,71.38,66.13,63.0,64.25,73.0,74.37,57.0,76.37,79.13,69.75,61.88,73.25,50.5,63.0,55.88,60.75,68.87
Dependent,3DCNN,De,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,65.19,6.28,59.5,65.37,65.5,61.25,62.37,73.0,72.0,62.62,69.12,75.12,58.87,56.25,69.62,67.75,78.75,71.5,57.75,75.0,61.37,66.25,53.62,65.87,70.0,62.13,56.63,62.12,76.25,64.25,63.75,63.25,58.75,60.5
