Dependency,Model Name,Domain,Channels,Window Size,Step Size,Hyperparams,Time,Target,Mean,Std,Best Combination,Best Accuracy,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15,Subject 16,Subject 17,Subject 18,Subject 19,Subject 20,Subject 21,Subject 22,Subject 23,Subject 24,Subject 25,Subject 26,Subject 27,Subject 28,Subject 29,Subject 30,Subject 31,Subject 32
Dependent,SVM-CUSTOM,TF,5,1,1,C:200 on each,926.03,VAL,67.45,6.64,AROxVALARO,0.492548634,57.8,75.72,65.3,66.27,58.64,66.53,75.72,63.77,61.95,69.7,67.71,56.86,69.24,59.7,65.42,65.51,57.75,66.36,61.44,83.05,61.02,70.47,68.86,75.51,65.25,84.58,75.04,68.71,68.98,69.96,66.27,69.15
,,,,,,,,ARO,67.9,6.88,AROxVALARO,0.492548634,64.62,60.97,86.19,63.98,55.68,57.58,60.59,67.08,64.19,67.16,71.23,77.97,77.5,69.83,62.67,62.71,61.74,67.12,78.39,74.49,72.29,63.77,72.33,75.08,67.92,72.84,76.44,58.09,64.92,66.4,64.53,66.53
,,,,,,,,VALARO,72.54,6.86,AROxVALARO,0.492548634,66.36,82.2,70.47,78.35,62.54,68.43,75.89,68.52,70.97,70.47,75.81,62.42,69.49,61.48,69.36,68.35,64.24,70.38,64.79,85.42,66.02,71.27,75.34,83.73,67.46,88.31,79.03,75.49,80.76,75.81,78.18,73.94
,,,,,,,,AROVAL,72.58,6.27,AROxVALARO,0.492548634,69.62,67.71,86.99,78.9,62.16,59.87,63.81,71.14,72.92,69.53,79.28,78.09,78.18,72.37,66.61,66.95,66.74,68.64,79.49,75.3,74.28,65.13,75.55,81.82,69.75,79.75,81.1,66.42,75.85,72.16,74.92,71.65
Dependent,SVM-Baseline-CUSTOM,TF,5,1,1,C:200 on each,427.69,VAL,90.59,4.31,VALxAROVAL,0.841707525,90.08,90.89,91.86,84.83,88.39,94.66,88.9,88.56,88.47,98.86,88.01,83.09,85.51,86.78,90.97,91.65,79.79,91.61,89.28,98.22,87.25,93.94,93.81,95.17,94.24,91.48,94.19,86.67,96.86,96.69,89.03,89.19
,,,,,,,,ARO,90.97,3.6,VALxAROVAL,0.841707525,93.64,89.32,93.35,87.08,87.92,90.55,87.54,87.75,90.81,97.97,88.01,89.87,90.97,87.71,91.65,92.37,82.42,89.92,88.86,96.95,89.96,94.49,90.51,96.57,95.68,90.38,92.12,85.75,97.29,95.55,88.05,90.08
,,,,,,,,VALARO,92.45,3.92,VALxAROVAL,0.841707525,91.86,92.58,95.51,90.59,89.24,94.7,90.17,90.34,89.92,98.9,88.94,84.49,85.76,87.54,93.18,92.97,82.8,93.01,92.88,98.64,89.19,95.47,94.75,95.68,95.55,93.56,96.57,92.49,98.47,97.33,94.41,91.06
,,,,,,,,AROVAL,92.91,3.19,VALxAROVAL,0.841707525,94.58,91.1,96.53,92.25,89.79,90.72,88.77,89.96,92.37,98.14,89.53,91.14,92.03,88.69,93.9,94.66,83.98,91.86,92.97,97.46,90.97,96.02,91.61,97.5,96.78,93.43,94.53,91.39,98.26,96.48,93.47,92.29
Dependent,SVM-CUSTOM,TF,5,3,3,C:200 on each,162.34,VAL,66.99,6.83,AROxVALARO,0.487005296,56.05,73.03,64.87,65.39,57.11,64.87,78.42,62.24,61.05,66.18,72.76,55.79,70.26,60.26,65.66,64.74,55,67.37,63.16,82.11,59.08,69.08,67.11,72.11,69.21,82.5,75.66,68.7,68.68,66.45,69.21,69.47
,,,,,,,,ARO,67.5,6.83,AROxVALARO,0.487005296,62.76,59.87,83.03,61.84,56.32,57.11,61.71,64.74,64.87,65.26,74.34,77.24,80.53,66.32,61.97,64.74,61.18,61.45,79.87,71.84,72.37,61.97,71.58,75.92,68.55,71.58,73.68,61.46,64.87,67.37,64.47,69.08
